,time,wait,abandon
923,2794,45,0
924,2795,37,0
925,2797,36,0
926,2798,34,0
927,2802,38,0
928,2805,41,0
929,2807,33,1
930,2809,31,0
931,2816,37,0
932,2817,37,0
933,2818,35,0
934,2821,34,0
935,2821,31,0
936,2827,27,0
937,2828,25,0
938,2830,26,0
939,2833,21,0
940,2839,25,0
941,2841,25,0
942,2841,22,0
943,2842,22,0
944,2848,21,0
945,2850,18,0
946,2851,18,0
947,2853,16,0
948,2858,15,0
949,2858,13,0
950,2861,3,0
951,2867,5,0
952,2870,2,0
953,2877,7,0
954,2878,5,0
955,2878,4,0
956,2882,6,1
957,2882,2,0
958,2883,2,0
959,2884,1,0
960,2893,9,0
961,2898,0,0
962,2903,0,0
963,2905,0,0
964,2908,0,0
965,2909,0,0
966,2911,0,0
967,2915,0,0
968,2919,0,0
969,2929,0,0
970,2930,0,0
971,2931,0,0
972,2948,0,0
973,2950,0,0
974,2957,0,0
975,2958,0,0
976,2962,0,0
977,2965,0,0
978,2970,0,0
979,2973,0,0
980,2976,0,0
981,2979,0,0
982,2981,0,0
983,2984,0,0
984,2985,0,0
985,2987,0,0
986,2987,0,0
987,2988,0,0
988,2993,0,0
989,2995,0,0
990,2996,0,0
991,2996,0,0
992,2997,0,0
993,3016,0,0
994,3019,0,0
995,3022,0,0
996,3022,0,0
997,3024,0,0
998,3027,0,0
999,3028,0,0
1000,3029,0,0
1001,3029,0,0
1002,3034,0,0
1003,3035,0,0
1004,3036,0,0
1005,3042,0,0
1006,3045,2,0
1007,3052,7,0
1008,3053,6,0
1009,3055,8,0
1010,3060,9,0
1011,3069,9,1
1012,3071,18,0
1013,3074,17,0
1014,3079,19,0
1015,3084,20,0
1016,3086,13,0
1017,3086,13,0
1018,3088,14,0
1019,3094,19,0
1020,3097,15,0
1021,3098,15,0
1022,3099,12,0
1023,3100,2,1
1024,3105,16,0
1025,3108,19,0
1026,3109,13,0
1027,3111,12,0
1028,3112,13,0
1029,3114,12,0
1030,3114,10,0
1031,3115,3,0
1032,3124,0,0
1033,3126,0,0
1034,3129,0,0
1035,3129,0,0
1036,3129,0,0
1037,3131,1,0
1038,3136,4,0
1039,3138,0,0
1040,3139,1,0
1041,3142,0,0
1042,3146,2,0
1043,3153,8,0
1044,3154,0,0
1045,3156,0,0
1046,3159,0,0
1047,3160,1,0
1048,3161,0,0
1049,3163,2,0
1050,3166,0,0
1051,3167,0,0
1052,3171,0,0
1053,3178,6,0
1054,3181,3,0
1055,3184,0,0
1056,3197,0,0
1057,3197,0,0
1058,3197,0,0
1059,3199,0,0
1060,3201,2,0
1061,3203,1,0
1062,3206,0,0
1063,3207,0,0
1064,3208,0,0
1065,3217,6,0
1066,3217,1,0
1067,3227,9,0
1068,3235,16,0
1069,3238,15,0
1070,3249,21,0
1071,3250,16,0
1072,3253,12,0
1073,3261,20,0
1074,3264,22,0
1075,3265,22,0
1076,3267,17,0
1077,3271,21,0
1078,3274,22,0
1079,3275,23,0
1080,3277,19,0
1081,3277,17,0
1082,3279,9,0
1083,3282,11,0
1084,3287,10,0
1085,3289,10,0
1086,3293,7,0
1087,3294,7,0
1088,3296,3,0
1089,3297,0,0
1090,3299,0,0
1091,3301,0,0
1092,3302,0,0
1093,3306,0,0
1094,3306,0,0
1095,3307,0,0
1096,3314,5,0
1097,3321,9,0
1098,3332,17,0
1099,3334,13,0
1100,3334,11,0
1101,3335,9,0
1102,3336,10,0
1103,3339,10,0
1104,3345,15,0
1105,3347,14,0
1106,3347,13,0
1107,3352,12,0
1108,3352,10,0
1109,3354,11,0
1110,3356,12,0
1111,3358,14,0
1112,3361,16,0
1113,3367,19,0
1114,3368,15,0
1115,3371,11,0
1116,3376,14,0
1117,3377,9,0
1118,3379,10,0
1119,3380,11,0
1120,3383,12,0
1121,3389,18,0
1122,3391,16,0
1123,3392,10,1
1124,3392,16,0
1125,3394,12,0
1126,3403,3,1
1127,3406,14,0
1128,3409,16,0
1129,3412,19,0
1130,3415,18,0
1131,3417,20,0
1132,3422,24,0
1133,3428,12,1
1134,3429,31,0
1135,3437,36,0
1136,3438,34,0
1137,3440,35,0
1138,3448,42,0
1139,3450,40,0
1140,3454,31,0
1141,3454,30,0
1142,3455,26,0
1143,3462,33,0
1144,3463,31,0
1145,3470,20,1
1146,3471,33,0
1147,3472,34,0
1148,3475,32,1
1149,3484,41,0
1150,3487,32,0
1151,3490,33,0
1152,3497,38,0
1153,3499,4,1
1154,3504,41,0
1155,3506,36,0
1156,3508,17,1
1157,3509,36,0
1158,3510,33,0
1159,3512,34,0
1160,3515,4,1
1161,3519,39,0
1162,3521,41,0
1163,3524,43,0
1164,3534,51,0
1165,3535,8,1
1166,3537,51,0
1167,3542,53,0
1168,3543,16,1
1169,3545,27,1
1170,3545,54,0
1171,3546,50,1
1172,3546,54,0
1173,3549,56,0
1174,3549,54,0
1175,3552,57,0
1176,3554,9,1
1177,3554,47,0
1178,3555,45,0
1179,3556,45,0
1180,3565,54,0
1181,3568,56,0
1182,3568,56,0
1183,3569,57,0
1184,3570,57,0
1185,3577,61,0
1186,3583,64,0
1187,3585,42,1
1188,3585,57,0
1189,3587,57,0
1190,3587,51,0
1191,3588,48,0
1192,3595,55,0
